DB	HGNC	GeneSymbol
Carro	HGNC:12820	REXO4
Dorothea	HGNC:38689	DUX4L5
Dorothea	HGNC:37265	DUX4L6
GO0003700	HGNC:27713	ZNF852
Dorothea	HGNC:38688	DUX4L3
Dorothea	HGNC:37266	DUX4L7
TcoFDB	HGNC:28972	ZC3H3
HumanTFDB	HGNC:51793	KLF18
HumanTFDB	HGNC:53927	AC022167.5
HumanTFDB	HGNC:51815	AC009122.1
